criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=370_random_state=3001,370,3001,4501.123566389084,0.8378378748893738,0.3839261531829834
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=3441_random_state=1001,3441,1001,4063.5330979824066,0.9484352469444276,0.1554285076468489
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=3441_random_state=2001,3441,2001,4122.400406599045,0.9429587125778198,0.1589283506537592
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=3441_random_state=3001,3441,3001,4087.167615890503,0.9512802362442015,0.1468699796255244
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=370_random_state=1001,370,1001,4582.788509845734,0.8648648858070374,1.4532426595687866
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=370_random_state=2001,370,2001,3752.5290727615356,0.7972973585128784,1.7048569917678833
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=370_random_state=3001,370,3001,4525.636342048645,0.824324369430542,1.553455471992493
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=3441_random_state=1001,3441,1001,3493.3442544937134,0.8441678285598755,1.3084026852319406
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=3441_random_state=2001,3441,2001,4077.2751824855804,0.7869132161140442,1.4748917540838553
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=3441_random_state=3001,3441,3001,4036.808294773102,0.7963727116584778,1.2932079337364015
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=370_random_state=1001,370,1001,4545.164457559586,0.9054054617881776,0.328324019908905
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=370_random_state=2001,370,2001,4438.451213598251,0.95945942401886,0.1761452406644821
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=370_random_state=3001,370,3001,4545.168572664261,0.8918919563293457,0.3357974588871002
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=3441_random_state=1001,3441,1001,4034.658607006073,0.9476765990257264,0.1571636797730313
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=3441_random_state=2001,3441,2001,3476.319547176361,0.9557846784591676,0.1448796488517938
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=3441_random_state=3001,3441,3001,3494.7364225387573,0.9647937417030334,0.1259337526767752
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=370_random_state=1001,370,1001,4528.413510322571,0.9459459781646729,0.1562477052211761
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=370_random_state=2001,370,2001,4530.646782398224,0.9324324727058412,0.2044976204633712
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=370_random_state=3001,370,3001,4509.775107145309,0.8918918967247009,0.2691526114940643
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=3441_random_state=1001,3441,1001,4092.1169939041138,0.9554054141044616,0.1477641314268112
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=3441_random_state=2001,3441,2001,4081.7314472198486,0.9593883156776428,0.1161817162362642
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=3441_random_state=3001,3441,3001,4062.6175775527954,0.9661450386047364,0.1298496591490368
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=370_random_state=1001,370,1001,4334.18449306488,0.9459459781646729,0.1862487196922302
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=370_random_state=2001,370,2001,3762.5136687755585,0.9054054021835328,0.2781522572040558
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=370_random_state=3001,370,3001,3754.945287704468,0.8378378748893738,0.3839078247547149
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=3441_random_state=1001,3441,1001,3875.5457675457,0.9484352469444276,0.1554026021513828
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=3441_random_state=2001,3441,2001,3542.989561319351,0.9429587125778198,0.1588902598203614
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=3441_random_state=3001,3441,3001,3542.7039992809296,0.9512802362442015,0.146842836120794
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=370_random_state=1001,370,1001,4352.458163499832,0.8648648858070374,1.4532184600830078
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=370_random_state=2001,370,2001,3768.210070371628,0.7972973585128784,1.7048308849334717
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=370_random_state=3001,370,3001,4296.358793258667,0.824324369430542,1.5534565448760986
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=3441_random_state=1001,3441,1001,4178.267343759537,0.8441678285598755,1.308378826740176
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=3441_random_state=2001,3441,2001,5606.516368150711,0.7869132161140442,1.4748742829921633
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=3441_random_state=3001,3441,3001,4073.9287860393524,0.7963727116584778,1.2931906872017438
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=370_random_state=1001,370,1001,3777.24560379982,0.9189189672470092,0.3044589459896087
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=370_random_state=2001,370,2001,4271.478591918945,0.95945942401886,0.1646661311388015
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=370_random_state=3001,370,3001,3882.5821464061737,0.8918919563293457,0.3215766251087188
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=3441_random_state=1001,3441,1001,3502.5632469654083,0.9503793120384216,0.1528609511117602
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=3441_random_state=2001,3441,2001,3810.1157307624817,0.9535323977470398,0.1528213379341502
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=3441_random_state=3001,3441,3001,4123.2722997665405,0.9620199203491212,0.1303952003634253
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=370_random_state=1001,370,1001,3785.556821346283,0.9459459781646729,0.1560833603143692
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=370_random_state=2001,370,2001,3744.953727245331,0.9324324727058412,0.2063682079315185
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=370_random_state=3001,370,3001,3752.6407704353333,0.8918918967247009,0.2691307067871094
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=3441_random_state=1001,3441,1001,3525.0030093193054,0.9567567110061646,0.1484866111084472
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=3441_random_state=2001,3441,2001,3819.710594892502,0.9566856026649476,0.1149277447961097
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=3441_random_state=3001,3441,3001,5064.247040271759,0.9647936820983888,0.1298631994530212
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.001_n=370_random_state=1001,370,1001,3768.6457228660583,0.9459459781646729,0.1862077713012695
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.001_n=370_random_state=2001,370,2001,4201.425197839737,0.9054054021835328,0.2781189680099487
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.001_n=370_random_state=3001,370,3001,4347.236441373825,0.8378378748893738,0.3839175701141357
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.001_n=3441_random_state=1001,3441,1001,3949.589372396469,0.9484352469444276,0.1553954703863277
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.001_n=3441_random_state=2001,3441,2001,3937.4799695014954,0.9429587125778198,0.1588916577572046
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.001_n=3441_random_state=3001,3441,3001,3945.502363920212,0.9512802362442015,0.1468404808709787
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.0001_n=370_random_state=1001,370,1001,3763.650008201599,0.8648648858070374,1.4532181024551392
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.0001_n=370_random_state=2001,370,2001,3768.1634674072266,0.7972973585128784,1.704849362373352
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.0001_n=370_random_state=3001,370,3001,3789.2035341262817,0.824324369430542,1.553455114364624
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.0001_n=3441_random_state=1001,3441,1001,3534.1660492420197,0.8441678285598755,1.3083810833997505
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.0001_n=3441_random_state=2001,3441,2001,3884.948096513748,0.7869132161140442,1.4748710255290185
