criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=1020_random_state=1001,1020,1001,3941.3246030807495,0.3774510025978088,3.649687229418287
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=1020_random_state=2001,1020,2001,3831.1296665668488,0.3774510324001312,3.649237515879612
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=1020_random_state=3001,1020,3001,3762.4725544452667,0.2794117927551269,3.964744829664043
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=510_random_state=1001,510,1001,3737.7474896907806,0.7647058963775635,0.9574464559555054
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=510_random_state=2001,510,2001,4138.664581537247,0.7941176891326904,0.765597403049469
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=510_random_state=3001,510,3001,3752.856617450714,0.803921639919281,0.8815487623214722
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=1020_random_state=1001,1020,1001,4132.142564058304,0.9166667461395264,0.3288586215645659
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=1020_random_state=2001,1020,2001,3837.3388872146606,0.9019608497619628,0.3738602055054085
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=1020_random_state=3001,1020,3001,3711.3663618564606,0.8627451658248901,0.4128592148715374
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=510_random_state=1001,510,1001,4113.5737998485565,0.7549020051956177,0.9713035225868224
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=510_random_state=2001,510,2001,4160.859913825989,0.8725491166114807,0.5764070153236389
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=510_random_state=3001,510,3001,4171.047545433044,0.803921639919281,0.9162248969078064
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=1020_random_state=1001,1020,1001,4328.33217549324,0.9264706969261168,0.2715995545480765
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=1020_random_state=2001,1020,2001,4202.820852279663,0.9019608497619628,0.3828265292971742
