criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=100_random_state=2001,100,2001,5219.327669620514,0.7500000596046448,0.853927493095398
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=100_random_state=3001,100,3001,5142.2063953876495,0.9000000953674316,0.2971806228160858
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1000_random_state=1001,1000,1001,8385.239735841751,0.944999933242798,0.1528535765409469
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1000_random_state=2001,1000,2001,8752.174690008163,0.9549999833106996,0.1380055314302444
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1000_random_state=3001,1000,3001,8793.726189374924,0.949999988079071,0.1667629933357238
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=10000_random_state=1001,10000,1001,9960.37789940834,0.9650000333786012,0.1339724102020263
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=10000_random_state=2001,10000,2001,10123.12513923645,0.9674999713897704,0.1396734095811843
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=10000_random_state=3001,10000,3001,10428.31338262558,0.9675000309944152,0.1388957241773605
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=50000_random_state=1001,50000,1001,8338.624258518219,0.9800999760627748,0.0729430797562003
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=50000_random_state=2001,50000,2001,7591.484620094299,0.9794999957084656,0.0748807367092929
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=50000_random_state=3001,50000,3001,8344.960149526596,0.9801999926567078,0.0818763613404706
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=100_random_state=1001,100,1001,6832.723710775375,0.7000000476837158,0.7824894189834595
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=100_random_state=2001,100,2001,6943.909299850464,0.8000000715255737,0.8613042831420898
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=100_random_state=3001,100,3001,7053.7401485443115,0.9000000953674316,0.2873932719230652
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1000_random_state=1001,1000,1001,7638.642787456512,0.9549999833106996,0.1222863268852234
