criterion,model_name,n,random_state,runtime,val_acc,val_nll,val_bma_acc,val_clml
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=100_random_state=2001,100,2001,3599.883059501648,0.550000011920929,1.454416036605835,0.55,-6.744440998529576
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=100_random_state=3001,100,3001,3726.797228574753,0.75,0.9686300158500672,0.75,-5.740719761346959
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=100_random_state=1001,100,1001,3503.2778935432434,0.6500000357627869,1.241347074508667,0.7,-0.7515625614873405
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=100_random_state=2001,100,2001,3543.7537722587585,0.7000000476837158,1.4261491298675537,0.75,-0.8212813992253776
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=100_random_state=3001,100,3001,3630.0648758411407,0.9000000357627869,0.4979798197746277,0.85,-1.652193750833654
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=100_random_state=1001,100,1001,3555.3501467704773,0.6000000238418579,1.2236614227294922,0.6,-1.962172235941076
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=100_random_state=2001,100,2001,3522.5693547725677,0.7000000476837158,1.536397099494934,0.75,-4.4275587458364
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=100_random_state=3001,100,3001,3580.295788049698,0.9000000357627869,0.5324177742004395,0.9,-0.8752627033940787
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.001_n=100_random_state=1001,100,1001,4069.190794467926,0.6500000357627869,1.258945107460022,0.65,-1.4683028120748038
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.001_n=100_random_state=2001,100,2001,3594.87194108963,0.5,2.051198959350586,0.55,-4.942052211259984
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.001_n=100_random_state=3001,100,3001,3555.3184468746185,0.7000000476837158,0.8325824737548828,0.7,-9.052854504083776
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.0001_n=100_random_state=1001,100,1001,3643.912668466568,0.6499999761581421,1.2154107093811035,0.65,-7.179378475641393
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.0001_n=100_random_state=2001,100,2001,3521.3152420520782,0.550000011920929,1.454188108444214,0.55,-6.515753712152623
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.0001_n=100_random_state=3001,100,3001,3635.3396561145782,0.75,0.9687440991401672,0.75,-5.881928648447179
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.1_n=100_random_state=1001,100,1001,4078.006116628647,0.0,88.496826171875,0.15,-inf
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.1_n=100_random_state=2001,100,2001,3621.8183495998383,0.1500000059604644,77.14817810058594,0.15,-inf
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.1_n=100_random_state=3001,100,3001,3686.3115191459656,0.050000000745058,80.87014770507812,0.15,-inf
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.01_n=100_random_state=1001,100,1001,3716.3749787807465,0.1500000059604644,15.759188652038574,0.5,-170.62413498351492
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.01_n=100_random_state=2001,100,2001,3646.4466619491577,0.25,11.42428207397461,0.25,-168.36534592101492
