criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=40000_random_state=3001,40000,3001,7419.104081630707,0.9007894992828368,0.0292973192305745
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=120000_random_state=1001,120000,1001,7070.118134260178,0.9001315832138062,0.028048202753263
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=120000_random_state=2001,120000,2001,7114.66442155838,0.9001315832138062,0.0302018961501552
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=120000_random_state=3001,120000,3001,7277.646523714066,0.9000000357627869,0.0293722881092445
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=40_random_state=1001,40,1001,17655.625621795654,0.762499988079071,0.1247249471964804
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=40_random_state=2001,40,2001,6000.8967027664185,0.81328946352005,0.0911233838858376
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=40_random_state=3001,40,3001,6189.362393379211,0.6910526156425476,0.1566380567397726
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=400_random_state=1001,400,1001,7251.588495969772,0.8440789580345154,0.1248470006435673
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=400_random_state=2001,400,2001,7371.332403182983,0.8680263161659241,0.0921470894512573
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=400_random_state=3001,400,3001,7436.597289800644,0.8611841797828674,0.0944791702041249
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=4000_random_state=1001,4000,1001,7601.816774845123,0.8835526704788208,0.0785583984152962
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=4000_random_state=2001,4000,2001,7717.582816362381,0.8999999761581421,0.0635435468353305
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=4000_random_state=3001,4000,3001,7642.938201904297,0.8963157534599304,0.0683038971443095
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=40000_random_state=1001,40000,1001,7122.029597759247,0.9351315498352052,0.0204267669803046
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=40000_random_state=2001,40000,2001,7313.368584394455,0.9317105412483216,0.0204942042805793
