alpha,beta,lr_0,n,n_iter,random_state,runtime,seed,val_acc,val_nll,test_acc,test_nll
0.0002300180918095681,0.01,0.06920397006555372,10000.0,4.0,1001.0,12146.404277801514,1.0,0.949999988079071,0.1552316982746124,0.9545999765396118,0.1505224222302436
3.074297662714852e-05,0.002195793973371667,0.05223488432496332,10000.0,5.0,1001.0,14139.839013814926,1.0,0.9490000605583192,0.1664816014766693,0.9545999765396118,0.1505224222302436
1.1982304709611654e-06,0.01,0.047518652772747826,10000.0,6.0,1001.0,16134.554783821106,1.0,0.9524999260902404,0.163665007352829,0.9545999765396118,0.1505224222302436
0.01,0.01,0.0001,10000.0,7.0,1001.0,18093.943283557892,1.0,0.8089999556541443,0.8361779565811157,0.9545999765396118,0.1505224222302436
0.01,2.1889631508750995e-06,0.009213219824443862,10000.0,8.0,1001.0,20363.020950317383,1.0,0.9294999837875366,0.2524409251213074,0.9545999765396118,0.1505224222302436
1e-06,1e-06,0.1,10000.0,9.0,1001.0,22253.29138326645,1.0,0.93149995803833,0.3158089184761047,0.9545999765396118,0.1505224222302436
1e-06,7.071325324902297e-05,0.010674018777888322,10000.0,10.0,1001.0,24350.096967220306,1.0,0.946999967098236,0.2286996264457702,0.9545999765396118,0.1505224222302436
0.01,0.01,0.04424240327400416,10000.0,11.0,1001.0,26225.764379024506,1.0,0.9464999437332152,0.1873677461147308,0.9545999765396118,0.1505224222302436
0.004679965619116805,2.4415231675522605e-06,0.01337376014945696,10000.0,0.0,1001.0,1954.6460406780243,2.0,0.9430000185966492,0.2185554847717285,0.9454999566078186,0.219551519203186
1e-06,0.008424264162555345,0.0001,10000.0,1.0,1001.0,5959.004247903824,2.0,0.809999942779541,0.8310557632446288,0.9454999566078186,0.219551519203186
0.008056265286613089,1.1132934991236001e-06,0.08001228718193909,10000.0,2.0,1001.0,8354.580845594406,2.0,0.9394999742507936,0.2134805624485015,0.9473999738693236,0.1993438116312027
0.01,0.0001859535512819756,0.1,10000.0,3.0,1001.0,10080.184489011765,2.0,0.9399998784065248,0.2129935503005981,0.9494999647140504,0.1919910485267639
0.01,4.868960812340822e-06,0.0001,10000.0,4.0,1001.0,12028.27893280983,2.0,0.8169999718666077,0.8266687936782837,0.9494999647140504,0.1919910485267639
1e-06,0.01,0.03888812865896142,10000.0,5.0,1001.0,14314.136216878891,2.0,0.9494999051094056,0.1678874630928039,0.9567000269889832,0.1533444334924221
0.01,0.01,0.03197336776460783,10000.0,6.0,1001.0,16312.983833312988,2.0,0.9435001015663148,0.185798350572586,0.9567000269889832,0.1533444334924221
1e-06,0.01,0.036465430155218206,10000.0,7.0,1001.0,18307.84417271614,2.0,0.949999988079071,0.1759735345840454,0.9567000269889832,0.1533444334924221
1e-06,1e-06,0.03608692067362646,10000.0,8.0,1001.0,20680.6778113842,2.0,0.9419999718666076,0.2817793693542481,0.9567000269889832,0.1533444334924221
7.610049713367379e-05,0.01,0.03713598459228532,10000.0,9.0,1001.0,22785.715342998505,2.0,0.9555000066757202,0.1595869262218475,0.9545000195503236,0.1537710606098175
1e-06,0.01,0.1,10000.0,10.0,1001.0,24862.801898241043,2.0,0.9369999766349792,0.1968075056076049,0.9545000195503236,0.1537710606098175
6.82661365433935e-05,0.01,0.033863098979792915,10000.0,11.0,1001.0,26820.851498365402,2.0,0.949999988079071,0.1646735401153564,0.9545000195503236,0.1537710606098175
1.3690924723771312e-06,1.4026874356562238e-05,0.020832665132000876,10000.0,0.0,1001.0,1962.6935968399048,3.0,0.9474999904632568,0.2219932384490967,0.9520999193191528,0.2363408018112182
