criterion,model_name,n,random_state,runtime,test_acc,test_nll,test_bma_acc,test_clml
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=100_random_state=3001,100,3001,2966.938755273819,0.7135,0.9081757040023803,0.7129000000000001,-4.285112729916856
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=100_random_state=1001,100,1001,3084.8189454078674,0.8287000000000001,0.6495258996963498,0.8253999999999999,-1.070180765042588
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=100_random_state=2001,100,2001,2984.6236362457275,0.8051,0.7065235792160035,0.8019999999999999,-1.2244571360447851
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.1_n=100_random_state=3001,100,3001,2894.0352189540863,0.8158999999999998,0.6671286171913147,0.8117000000000001,-1.0626085909703225
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=100_random_state=1001,100,1001,2910.6449093818665,0.7855999999999999,0.716513491821289,0.7764,-2.204028001675889
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=100_random_state=2001,100,2001,2917.7772030830383,0.7897000000000001,0.7436296571731568,0.7904,-0.7148817690709084
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.01_n=100_random_state=3001,100,3001,3021.272437095642,0.8131999999999999,0.6449547969818112,0.812,-0.6300381335118264
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.001_n=100_random_state=1001,100,1001,2934.1301321983337,0.6639999999999999,1.0684866445541383,0.6607,-3.7362726839879006
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.001_n=100_random_state=2001,100,2001,2940.4948880672455,0.6853,1.0965645824432373,0.6856000000000001,-3.641279569516465
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.001_n=100_random_state=3001,100,3001,3025.7168021202087,0.7392,0.8548662664413453,0.7268,-3.2813209208348244
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.0001_n=100_random_state=1001,100,1001,2991.7997286319733,0.5902000000000001,1.2868904394149776,0.5915,-7.197911611447617
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.0001_n=100_random_state=2001,100,2001,3007.2088606357574,0.6502000000000001,1.0534086637496949,0.6480999999999999,-4.813138357053086
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.0001_n=100_random_state=3001,100,3001,3010.023102283478,0.7135,0.908176183509827,0.7132,-4.287053457150742
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.1_n=100_random_state=1001,100,1001,2927.828094482422,0.8215,0.6627356213569641,0.1052999999999999,-inf
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.1_n=100_random_state=2001,100,2001,2959.6456694602966,0.8084,0.7094086557388306,0.2495,-194.1827982577184
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.1_n=100_random_state=3001,100,3001,2950.5451200008392,0.8150000000000001,0.6637593183517453,0.1766999999999999,-360.6970041903356
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.01_n=100_random_state=1001,100,1001,2980.1119945049286,0.7847999999999999,0.7149811143875123,0.6136,-12.450757852444932
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.01_n=100_random_state=2001,100,2001,2951.0490114688873,0.7889999999999999,0.7359503026962281,0.6034,-53.62757670010118
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.01_n=100_random_state=3001,100,3001,2964.627846956253,0.8093,0.6562468263626101,0.563,-32.38938318813829
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.001_n=100_random_state=1001,100,1001,3020.9610738754272,0.6639999999999999,1.0684962398529052,0.6587000000000001,-3.2012075098851174
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.001_n=100_random_state=2001,100,2001,2971.687026977539,0.6853,1.0965758110046386,0.6772,-4.084722391019151
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.001_n=100_random_state=3001,100,3001,3037.273613214493,0.7392,0.8548636253356938,0.7146,-3.945408216367051
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.0001_n=100_random_state=1001,100,1001,2968.8945801258087,0.5903,1.286887092018128,0.5912999999999999,-7.198694101224229
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.0001_n=100_random_state=2001,100,2001,2907.758490085602,0.6500999999999999,1.0534078100204467,0.6486,-4.814094415555283
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.0001_n=100_random_state=3001,100,3001,2913.337337732315,0.7135,0.9081711765289304,0.7131,-4.287915578732774
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.1_n=100_random_state=1001,100,1001,2935.2474703788757,0.7377,1.1500584478378295,0.735,-0.7569368990757912
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.1_n=100_random_state=2001,100,2001,2918.24858546257,0.7202,1.3606937606811522,0.72,-0.6875618609288185
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.1_n=100_random_state=3001,100,3001,2929.7103610038757,0.7043000000000001,1.516471206474305,0.7028000000000001,-0.7902268084385842
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.01_n=100_random_state=1001,100,1001,2920.2356898784637,0.7083000000000002,1.0615246131896972,0.6955000000000001,-1.5328539522984477
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.01_n=100_random_state=2001,100,2001,3065.0722608566284,0.6955,1.2885351146697996,0.6931,-1.2707341822483986
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.01_n=100_random_state=3001,100,3001,2957.4755561351776,0.7423,0.9751863986968988,0.7387,-1.1565512331822363
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.001_n=100_random_state=1001,100,1001,2919.2439420223236,0.6576000000000001,1.0794687320709229,0.6587000000000001,-1.6413129481175392
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.001_n=100_random_state=2001,100,2001,2985.506468772888,0.6773999999999999,1.1137830364227297,0.6816,-2.4530533465245217
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.001_n=100_random_state=3001,100,3001,2899.0021781921387,0.7306999999999999,0.873092592048645,0.7312,-1.1005695971348732
