criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=10000_random_state=1001,10000,1001,2289.452278614044,0.9412000179290771,0.2242500303268432
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=10000_random_state=2001,10000,2001,2176.065395116806,0.9399999976158142,0.2199897881507874
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=10000_random_state=3001,10000,3001,2179.828961610794,0.9439000487327576,0.2096148376464844
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=50000_random_state=1001,50000,1001,1978.4954752922058,0.9623000621795654,0.1286733327388763
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=50000_random_state=2001,50000,2001,2169.174220085144,0.9634000062942504,0.1269931605815887
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=50000_random_state=3001,50000,3001,2266.8237750530243,0.9649001359939576,0.1213316933155059
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=100_random_state=1001,100,1001,1863.8557934761047,0.6868000626564026,0.9312214321136474
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=100_random_state=2001,100,2001,1847.4991571903229,0.6584999561309814,1.032174969673157
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=100_random_state=3001,100,3001,1765.7191498279572,0.6862000226974487,0.9393987009048465
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1000_random_state=1001,1000,1001,2011.4401450157166,0.8797999620437622,0.3890965811729433
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1000_random_state=2001,1000,2001,2311.8522686958313,0.8748000860214233,0.4091521035194396
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1000_random_state=3001,1000,3001,2170.446397781372,0.8716000318527222,0.4234455094337463
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=10000_random_state=1001,10000,1001,2458.635167837143,0.9336000084877014,0.2013132220268249
